filiere,prix_MWh,cluster,filiere_group
Hydr low,15.0,1,"Nucl low, Hydr low, Hydr high, Char low, Char high"
Hydr high,20.0,1,"Nucl low, Hydr low, Hydr high, Char low, Char high"
Char low,40.0,1,"Nucl low, Hydr low, Hydr high, Char low, Char high"
Char high,40.0,1,"Nucl low, Hydr low, Hydr high, Char low, Char high"
Nucl low,59.8,1,"Nucl low, Hydr low, Hydr high, Char low, Char high"
Gaz low,70.0,2,"Nucl high, Éoli low, Gaz low, Gaz high, Fiou low, Fiou high"
Fiou low,70.0,2,"Nucl high, Éoli low, Gaz low, Gaz high, Fiou low, Fiou high"
Éoli low,90.0,2,"Nucl high, Éoli low, Gaz low, Gaz high, Fiou low, Fiou high"
Gaz high,100.0,2,"Nucl high, Éoli low, Gaz low, Gaz high, Fiou low, Fiou high"
Fiou high,100.0,2,"Nucl high, Éoli low, Gaz low, Gaz high, Fiou low, Fiou high"
Nucl high,109.0,2,"Nucl high, Éoli low, Gaz low, Gaz high, Fiou low, Fiou high"
Phot low,142.0,0,"Éoli high, Phot low, Phot high"
Phot high,142.0,0,"Éoli high, Phot low, Phot high"
Éoli high,200.0,0,"Éoli high, Phot low, Phot high"
