annee,production électricité TWh
1960,3.6
1961,4.8
1962,5.7
1963,5.1
1964,4.1
1965,3.1
1966,3.7
1967,4.1
1968,5.2
1969,6.4
1970,6.3
1971,7.1
1972,8.9
1973,9.3
1974,10.1
1975,11.4
1976,9.8
1977,8.7
1978,5.8
1979,7.9
1980,5.9
1981,5.2
1982,5.
1983,4.6
1984,3.5
1985,3.0
1986,2.7
1987,2.2
1988,2.0
1989,2.3
1990,2.8
1991,2.7
1992,2.8
1993,3.1
1994,3.3
1995,3.3
1996,4.0
1997,5.0
1998,5.2
1999,7.4
2000,10.9
2001,6.5
2002,7.8
2003,7.4
2004,8.6
2005,11.0
2006,10.1
2007,10.6
2008,21.2
2009,24.1
2010,29.9
2011,30.9
2012,24.0
2013,19.9
2014,14.3
2015,21.9
2016,35.4
2017,41.1
2018,31.2
2019,38.5
2020,34.5
